City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Taree,AU,2020-10-30 23:31:14,-31.9,152.47,75.99,69,82,4.7
164,Naze,JP,2020-10-30 23:31:57,28.37,129.48,75.2,60,40,20.8
165,Cabedelo,BR,2020-10-30 23:31:57,-6.98,-34.83,77.0,88,20,6.93
166,Hofn,IS,2020-10-30 23:31:57,64.25,-15.21,45.66,77,59,28.97
167,Port-Gentil,GA,2020-10-30 23:31:26,-0.72,8.78,78.8,94,40,5.82
168,Jasper,US,2020-10-30 23:31:58,37.2,-94.35,60.8,41,1,6.93
169,Port Lincoln,AU,2020-10-30 23:30:31,-34.73,135.87,58.3,76,55,10.22
170,Salalah,OM,2020-10-30 23:31:58,17.02,54.09,75.2,60,0,5.82
171,Bilibino,RU,2020-10-30 23:31:58,68.05,166.44,6.4,89,99,1.48
172,Alice Springs,AU,2020-10-30 23:31:09,-23.7,133.88,68.0,28,1,13.87
173,Sao Filipe,CV,2020-10-30 23:31:58,14.9,-24.5,81.61,57,88,14.94
174,Nyurba,RU,2020-10-30 23:31:59,63.28,118.33,-4.5,91,78,2.95
175,Luanda,AO,2020-10-30 23:29:50,-8.84,13.23,76.75,86,46,10.33
176,Kushima,JP,2020-10-30 23:31:59,31.46,131.23,55.4,66,20,8.05
177,Palmer,US,2020-10-30 23:32:00,42.16,-72.33,30.99,100,40,1.68
178,Linden,GY,2020-10-30 23:32:00,6.0,-58.3,80.6,83,40,6.93
179,Belaya Gora,RU,2020-10-30 23:31:17,68.53,146.42,4.59,94,96,2.91
180,Longyearbyen,SJ,2020-10-30 23:32:00,78.22,15.64,17.6,72,0,5.82
181,Ankang,CN,2020-10-30 23:32:01,32.68,109.02,60.01,38,100,1.14
182,Semirom,IR,2020-10-30 23:32:01,31.42,51.57,31.75,87,0,0.87
183,Taoudenni,ML,2020-10-30 23:32:02,22.68,-3.98,75.79,20,94,10.36
184,Kavieng,PG,2020-10-30 23:32:02,-2.57,150.8,83.21,75,97,7.96
185,Turukhansk,RU,2020-10-30 23:32:02,65.82,87.98,6.26,92,100,9.33
186,Leh,IN,2020-10-30 23:32:02,34.17,77.58,25.27,72,24,1.59
187,Ganzhou,CN,2020-10-30 23:32:02,28.82,115.43,61.97,81,91,5.14
188,Souillac,MU,2020-10-30 23:32:03,-20.52,57.52,68.0,56,40,17.22
189,Hohenstein-Ernstthal,DE,2020-10-30 23:32:03,50.8,12.72,55.99,93,100,11.95
190,Camacupa,AO,2020-10-30 23:32:03,-12.02,17.48,63.88,92,100,1.83
191,Limon,CR,2020-10-30 23:32:03,10.0,-83.03,82.4,83,40,10.29
192,Ayr,GB,2020-10-30 23:30:27,55.46,-4.63,42.8,87,40,5.82
193,Badarpur,IN,2020-10-30 23:32:03,24.9,92.6,73.94,88,97,2.62
194,Vila Velha,BR,2020-10-30 23:32:04,-20.33,-40.29,77.0,88,90,8.05
